,symbol
0,1INCH/BUSD
1,1INCH/USDT
2,1INCHDOWN/USDT
3,1INCHUP/USDT
4,AAVE/BUSD
5,AAVE/USDT
6,AAVEDOWN/USDT
7,AAVEUP/USDT
8,ACM/BUSD
9,ACM/USDT
10,ADA/BUSD
11,ADA/USDT
12,ADADOWN/USDT
13,ADAUP/USDT
14,ADX/BUSD
15,ADX/USDT
16,AERGO/BUSD
17,AGLD/BUSD
18,AGLD/USDT
19,AION/BUSD
20,AION/USDT
21,AKRO/USDT
22,ALGO/BUSD
23,ALGO/USDT
24,ALICE/BUSD
25,ALICE/USDT
26,ALPACA/BUSD
27,ALPACA/USDT
28,ALPHA/BUSD
29,ALPHA/USDT
30,ANKR/USDT
31,ANT/BUSD
32,ANT/USDT
33,AR/BUSD
34,AR/USDT
35,ARDR/USDT
36,ARPA/BUSD
37,ARPA/USDT
38,ASR/USDT
39,ATA/BUSD
40,ATA/USDT
41,ATM/BUSD
42,ATM/USDT
43,ATOM/BUSD
44,ATOM/USDT
45,AUCTION/BUSD
46,AUCTION/USDT
47,AUD/BUSD
48,AUD/USDT
49,AUDIO/BUSD
50,AUDIO/USDT
51,AUTO/BUSD
52,AUTO/USDT
53,AVA/BUSD
54,AVA/USDT
55,AVAX/BUSD
56,AVAX/USDT
57,AXS/BUSD
58,AXS/USDT
59,BADGER/BUSD
60,BADGER/USDT
61,BAKE/BUSD
62,BAKE/USDT
63,BAL/BUSD
64,BAL/USDT
65,BAND/BUSD
66,BAND/USDT
67,BAR/BUSD
68,BAR/USDT
69,BAT/BUSD
70,BAT/USDT
71,BCC/USDT
72,BCH/BUSD
73,BCH/USDT
74,BCHA/BUSD
75,BCHDOWN/USDT
76,BCHUP/USDT
77,BEAM/USDT
78,BEAR/BUSD
79,BEAR/USDT
80,BEL/BUSD
81,BEL/USDT
82,BETA/BUSD
83,BETA/USDT
84,BIFI/BUSD
85,BKRW/BUSD
86,BKRW/USDT
87,BLZ/BUSD
88,BLZ/USDT
89,BNB/BUSD
90,BNB/USDT
91,BNBBEAR/BUSD
92,BNBBEAR/USDT
93,BNBBULL/BUSD
94,BNBBULL/USDT
95,BNBDOWN/USDT
96,BNBUP/USDT
97,BNT/BUSD
98,BNT/USDT
99,BNX/BUSD
100,BNX/USDT
101,BOND/BUSD
102,BOND/USDT
103,BOT/BUSD
104,BSV/USDT
105,BTC/BUSD
106,BTC/USDT
107,BTCDOWN/USDT
108,BTCST/BUSD
109,BTCST/USDT
110,BTCUP/USDT
111,BTG/BUSD
112,BTG/USDT
113,BTS/BUSD
114,BTS/USDT
115,BTT/BUSD
116,BTT/USDT
117,BULL/BUSD
118,BULL/USDT
119,BURGER/BUSD
120,BURGER/USDT
121,BUSD/BIDR
122,BUSD/BKRW
123,BUSD/BRL
124,BUSD/BVND
125,BUSD/DAI
126,BUSD/IDRT
127,BUSD/NGN
128,BUSD/RUB
129,BUSD/TRY
130,BUSD/UAH
