,symbol
0,1INCH/USD
1,AAPL/USD
2,AAVE/USD
3,AAVE/USDT
4,ABNB/USD
5,ACB/USD
6,ADABEAR/USD
7,ADABULL/USD
8,ADAHALF/USD
9,ADAHEDGE/USD
10,AGLD/USD
11,AKRO/USD
12,AKRO/USDT
13,ALCX/USD
14,ALGOBEAR/USD
15,ALGOBULL/USD
16,ALGOHALF/USD
17,ALGOHEDGE/USD
18,ALICE/USD
19,ALPHA/USD
20,ALTBEAR/USD
21,ALTBULL/USD
22,ALTHALF/USD
23,ALTHEDGE/USD
24,AMC/USD
25,AMD/USD
26,AMPL/USD
27,AMPL/USDT
28,AMZN/USD
29,APHA/USD
30,ARKK/USD
31,ASD/USD
32,ASDBEAR/USD
33,ASDBEAR/USDT
34,ASDBULL/USD
35,ASDBULL/USDT
36,ASDHALF/USD
37,ASDHEDGE/USD
38,ATLAS/USD
39,ATOMBEAR/USD
40,ATOMBULL/USD
41,ATOMHALF/USD
42,ATOMHEDGE/USD
43,AUDIO/USD
44,AUDIO/USDT
45,AXS/USD
46,BABA/USD
47,BADGER/USD
48,BAL/USD
49,BAL/USDT
50,BALBEAR/USD
51,BALBEAR/USDT
52,BALBULL/USD
53,BALBULL/USDT
54,BALHALF/USD
55,BALHEDGE/USD
56,BAND/USD
57,BAO/USD
58,BAR/USD
59,BAT/USD
60,BB/USD
61,BCH/USD
62,BCH/USDT
63,BCHBEAR/USD
64,BCHBEAR/USDT
65,BCHBULL/USD
66,BCHBULL/USDT
67,BCHHALF/USD
68,BCHHEDGE/USD
69,BEAR/USD
70,BEAR/USDT
71,BEARSHIT/USD
72,BILI/USD
73,BITW/USD
74,BNB/USD
75,BNB/USDT
76,BNBBEAR/USD
77,BNBBEAR/USDT
78,BNBBULL/USD
79,BNBBULL/USDT
80,BNBHALF/USD
81,BNBHEDGE/USD
82,BNT/USD
83,BNTX/USD
84,BRZ/USD
85,BRZ/USDT
86,BSVBEAR/USD
87,BSVBEAR/USDT
88,BSVBULL/USD
89,BSVBULL/USDT
90,BSVHALF/USD
91,BSVHEDGE/USD
92,BTC/USD
93,BTC/USDT
94,BULL/USD
95,BULL/USDT
96,BULLSHIT/USD
97,BVOL/USD
98,BVOL/USDT
99,BYND/USD
100,C98/USD
101,CAD/USD
102,CEL/USD
103,CGC/USD
104,CHR/USD
105,CHZ/USD
106,CHZ/USDT
107,CITY/USD
108,CLV/USD
109,COIN/USD
110,COMP/USD
111,COMP/USDT
112,COMPBEAR/USD
113,COMPBEAR/USDT
114,COMPBULL/USD
115,COMPBULL/USDT
116,COMPHALF/USD
117,COMPHEDGE/USD
118,CONV/USD
119,COPE/USD
120,CQT/USD
121,CREAM/USD
122,CREAM/USDT
123,CRO/USD
124,CRON/USD
125,CRV/USD
126,CUSDT-PERP
127,CUSDT/USD
128,CUSDT/USDT
129,CUSDTBEAR/USD
130,CUSDTBEAR/USDT
131,CUSDTBULL/USD
132,CUSDTBULL/USDT
133,CUSDTHALF/USD
134,CUSDTHEDGE/USD
135,CVC/USD
136,DAI/USD
137,DAI/USDT
138,DAWN/USD
139,DEFIBEAR/USD
140,DEFIBEAR/USDT
141,DEFIBULL/USD
142,DEFIBULL/USDT
143,DEFIHALF/USD
144,DEFIHEDGE/USD
145,DENT/USD
146,DKNG/USD
147,DMG/USD
148,DMG/USDT
149,DODO/USD
150,DOGE/USD
151,DOGE/USDT
152,DOGEBEAR2021/USD
153,DOGEBULL/USD
154,DOGEHALF/USD
155,DOGEHEDGE/USD
156,DRGNBEAR/USD
157,DRGNBULL/USD
158,DRGNHALF/USD
159,DRGNHEDGE/USD
160,DYDX/USD
161,EDEN/USD
162,EMB/USD
163,ENJ/USD
164,EOSBEAR/USD
165,EOSBEAR/USDT
166,EOSBULL/USD
167,EOSBULL/USDT
168,EOSHALF/USD
169,EOSHEDGE/USD
170,ETCBEAR/USD
171,ETCBULL/USD
172,ETCHALF/USD
173,ETCHEDGE/USD
174,ETH/USD
175,ETH/USDT
176,ETHBEAR/USD
177,ETHBEAR/USDT
178,ETHBULL/USD
179,ETHBULL/USDT
180,ETHE/USD
181,ETHHALF/USD
182,ETHHEDGE/USD
183,EUR/USD
184,EXCHBEAR/USD
185,EXCHBULL/USD
186,EXCHHALF/USD
187,EXCHHEDGE/USD
188,FB/USD
189,FIDA/USD
190,FIDA/USDT
191,FRONT/USD
192,FRONT/USDT
193,FTM/USD
194,FTT/USD
195,FTT/USDT
196,GAL/USD
197,GBP/USD
198,GBTC/USD
199,GDX/USD
200,GDXJ/USD
201,GLD/USD
202,GLXY/USD
203,GME/USD
204,GOOGL/USD
205,GRT/USD
206,GRTBEAR/USD
207,GRTBULL/USD
208,GT/USD
209,HALF/USD
210,HALFSHIT/USD
211,HEDGE/USD
212,HEDGESHIT/USD
213,HGET/USD
214,HGET/USDT
215,HMT/USD
216,HNT/USD
217,HNT/USDT
218,HOLY/USD
219,HOOD/USD
220,HT/USD
221,HTBEAR/USD
222,HTBULL/USD
223,HTHALF/USD
224,HTHEDGE/USD
225,HUM/USD
226,HXRO/USD
227,HXRO/USDT
228,IBVOL/USD
229,IBVOL/USDT
230,INTER/USD
231,JST/USD
232,KIN/USD
233,KNC/USD
234,KNC/USDT
235,KNCBEAR/USD
236,KNCBEAR/USDT
237,KNCBULL/USD
238,KNCBULL/USDT
239,KNCHALF/USD
240,KNCHEDGE/USD
241,LEO/USD
242,LEOBEAR/USD
243,LEOBULL/USD
244,LEOHALF/USD
245,LEOHEDGE/USD
246,LINA/USD
247,LINK/USD
248,LINK/USDT
249,LINKBEAR/USD
250,LINKBEAR/USDT
251,LINKBULL/USD
252,LINKBULL/USDT
253,LINKHALF/USD
254,LINKHEDGE/USD
255,LRC/USD
256,LTC/USD
257,LTC/USDT
258,LTCBEAR/USD
259,LTCBEAR/USDT
260,LTCBULL/USD
261,LTCBULL/USDT
262,LTCHALF/USD
263,LTCHEDGE/USD
264,LUA/USD
265,LUA/USDT
266,MANA/USD
267,MAPS/USD
268,MAPS/USDT
269,MATH/USD
270,MATH/USDT
271,MATIC/USD
272,MATICBEAR2021/USD
273,MATICBULL/USD
274,MATICHALF/USD
275,MATICHEDGE/USD
276,MEDIA/USD
277,MER/USD
278,MIDBEAR/USD
279,MIDBULL/USD
280,MIDHALF/USD
281,MIDHEDGE/USD
282,MKR/USD
283,MKR/USDT
284,MKRBEAR/USD
285,MKRBULL/USD
286,MNGO/USD
287,MOB/USD
288,MOB/USDT
289,MRNA/USD
290,MSTR/USD
291,MTA/USD
292,MTA/USDT
293,MTL/USD
294,NFLX/USD
295,NIO/USD
296,NOK/USD
297,NVDA/USD
298,OKB/USD
299,OKBBEAR/USD
300,OKBBULL/USD
301,OKBHALF/USD
302,OKBHEDGE/USD
303,OMG/USD
304,ORBS/USD
305,OXY/USD
306,OXY/USDT
307,PAXG/USD
308,PAXG/USDT
309,PAXGBEAR/USD
310,PAXGBULL/USD
311,PAXGHALF/USD
312,PAXGHEDGE/USD
313,PENN/USD
314,PERP/USD
315,PFE/USD
316,POLIS/USD
317,PRIVBEAR/USD
318,PRIVBULL/USD
319,PRIVHALF/USD
320,PRIVHEDGE/USD
321,PROM/USD
322,PSG/USD
323,PUNDIX/USD
324,PYPL/USD
325,RAMP/USD
326,RAY/USD
327,REEF/USD
328,REN/USD
329,ROOK/USD
330,ROOK/USDT
331,RSR/USD
332,RUNE/USD
333,RUNE/USDT
334,SAND/USD
335,SECO/USD
336,SHIB/USD
337,SKL/USD
338,SLP/USD
339,SLRS/USD
340,SLV/USD
341,SNX/USD
342,SNY/USD
343,SOL/USD
344,SOL/USDT
345,SPY/USD
346,SQ/USD
347,SRM/USD
348,SRM/USDT
349,STEP/USD
350,STMX/USD
351,STORJ/USD
352,SUN/USD
353,SUSHI/USD
354,SUSHI/USDT
355,SUSHIBEAR/USD
356,SUSHIBULL/USD
357,SXP/USD
358,SXP/USDT
359,SXPBEAR/USD
360,SXPBULL/USD
361,SXPHALF/USD
362,SXPHALF/USDT
363,SXPHEDGE/USD
364,THETABEAR/USD
365,THETABULL/USD
366,THETAHALF/USD
367,THETAHEDGE/USD
368,TLM/USD
369,TLRY/USD
370,TOMO/USD
371,TOMO/USDT
372,TOMOBEAR2021/USD
373,TOMOBULL/USD
374,TOMOHALF/USD
375,TOMOHEDGE/USD
376,TRU/USD
377,TRU/USDT
378,TRX/USD
379,TRX/USDT
380,TRXBEAR/USD
381,TRXBULL/USD
382,TRXHALF/USD
383,TRXHEDGE/USD
384,TRYB/USD
385,TRYBBEAR/USD
386,TRYBBULL/USD
387,TRYBHALF/USD
388,TRYBHEDGE/USD
389,TSLA/USD
390,TSM/USD
391,TULIP/USD
392,TWTR/USD
393,UBER/USD
394,UBXT/USD
395,UBXT/USDT
396,UNI/USD
397,UNI/USDT
398,UNISWAPBEAR/USD
399,UNISWAPBULL/USD
400,USDT-0924
401,USDT-1231
402,USDT-PERP
403,USDT/USD
404,USDTBEAR/USD
405,USDTBULL/USD
406,USDTHALF/USD
407,USDTHEDGE/USD
408,USO/USD
409,VETBEAR/USD
410,VETBEAR/USDT
411,VETBULL/USD
412,VETBULL/USDT
413,VETHEDGE/USD
414,WAVES/USD
415,WBTC/USD
416,WRX/USD
417,WRX/USDT
418,XAUT/USD
419,XAUT/USDT
420,XAUTBEAR/USD
421,XAUTBULL/USD
422,XAUTHALF/USD
423,XAUTHEDGE/USD
424,XLMBEAR/USD
425,XLMBULL/USD
426,XRP/USD
427,XRP/USDT
428,XRPBEAR/USD
429,XRPBEAR/USDT
430,XRPBULL/USD
431,XRPBULL/USDT
432,XRPHALF/USD
433,XRPHEDGE/USD
434,XTZBEAR/USD
435,XTZBEAR/USDT
436,XTZBULL/USD
437,XTZBULL/USDT
438,XTZHALF/USD
439,XTZHEDGE/USD
440,YFI/USD
441,YFI/USDT
442,YFII/USD
443,ZECBEAR/USD
444,ZECBULL/USD
445,ZM/USD
446,ZRX/USD
