,symbol
0,1INCH/USDT
1,AAC/USDT
2,AAVE/USDT
3,ABT/USDT
4,ACH/USDT
5,ACT/USDT
6,ADA/USDT
7,AE/USDT
8,AGLD/USDT
9,AKRO/USDT
10,ALGO/USDT
11,ANKR/USDT
12,ANT/USDT
13,API3/USDT
14,APN/USDT
15,AR/USDT
16,ARPA/USDT
17,AST/USDT
18,ATOM/USDT
19,ATP/USDT
20,AUCTION/USDT
21,AVAX/USDT
22,AXS/USDT
23,BADGER/USDT
24,BAGS/USDT
25,BAL/USDT
26,BAND/USDT
27,BAT/USDT
28,BCH/USDT
29,BCH3L/USDT
30,BCH3S/USDT
31,BCHA/USDT
32,BETH/USDT
33,BHD/USDT
34,BIX/USDT
35,BLZ/USDT
36,BNT/USDT
37,BOR/USDT
38,BORING/USDT
39,BOT/USDT
40,BSV/USDT
41,BSV3L/USDT
42,BSV3S/USDT
43,BTC/USDT
44,BTC1S/USDT
45,BTC3L/USDT
46,BTC3S/USDT
47,BTM/USDT
48,BTS/USDT
49,BTT/USDT
50,CAN/USDT
51,CERE/USDT
52,CHR/USDT
53,CHZ/USDT
54,CKB/USDT
55,CLV/USDT
56,CMT/USDT
57,CNNS/USDT
58,COMP/USDT
59,COTI/USDT
60,CRE/USDT
61,CRO/USDT
62,CRU/USDT
63,CRV/USDT
64,CSPR/USDT
65,CTSI/USDT
66,CTXC/USDT
67,CVC/USDT
68,CVP/USDT
69,DAC/USDT
70,DAI/USDT
71,DASH/USDT
72,DCR/USDT
73,DF/USDT
74,DFA/USDT
75,DHT/USDT
76,DKA/USDT
77,DOCK/USDT
78,DOGE/USDT
79,DOT/USDT
80,DOT2L/USDT
81,DOT2S/USDT
82,DTA/USDT
83,DYDX/USDT
84,EDEN/USDT
85,EGT/USDT
86,EKT/USDT
87,ELA/USDT
88,ELF/USDT
89,EM/USDT
90,ENJ/USDT
91,ENS/USDT
92,EOS/USDT
93,EOS3L/USDT
94,EOS3S/USDT
95,EPIK/USDT
96,ETC/USDT
97,ETH/USDT
98,ETH1S/USDT
99,ETH3L/USDT
100,ETH3S/USDT
101,FIL/USDT
102,FIL3L/USDT
103,FIL3S/USDT
104,FILDA/USDT
105,FIRO/USDT
106,FIS/USDT
107,FLOW/USDT
108,FOR/USDT
109,FORTH/USDT
110,FRONT/USDT
111,FSN/USDT
112,FTI/USDT
113,FTT/USDT
114,GAL/USDT
115,GLM/USDT
116,GNX/USDT
117,GOF/USDT
118,GRT/USDT
119,GT/USDT
120,GXC/USDT
121,HBAR/USDT
122,HBC/USDT
123,HC/USDT
124,HIVE/USDT
125,HPT/USDT
126,HT/USDT
127,HitChain/USDT
128,Hydro Protocol/USDT
129,ICP/USDT
130,ICX/USDT
131,IMX/USDT
132,INJ/USDT
133,INSUR/USDT
134,IOST/USDT
135,IOTA/USDT
136,IOTX/USDT
137,IRIS/USDT
138,ITC/USDT
139,JST/USDT
140,KAN/USDT
141,KAVA/USDT
142,KCASH/USDT
143,KNC/USDT
144,KSM/USDT
145,LAMB/USDT
146,LAT/USDT
147,LBA/USDT
148,LEND/USDT
149,LET/USDT
150,LHB/USDT
151,LINA/USDT
152,LINK/USDT
153,LINK3L/USDT
154,LINK3S/USDT
155,LOL/USDT
156,LOOM/USDT
157,LRC/USDT
158,LTC/USDT
159,LTC3L/USDT
160,LTC3S/USDT
161,LUNA/USDT
162,LXT/USDT
163,MANA/USDT
164,MASK/USDT
165,MASS/USDT
166,MATIC/USDT
167,MCO/USDT
168,MDS/USDT
169,MDX/USDT
170,MIR/USDT
171,MKR/USDT
172,MLN/USDT
173,MTA/USDT
174,MX/USDT
175,MXC/USDT
176,NANO/USDT
177,NAS/USDT
178,NBS/USDT
179,NEAR/USDT
180,NEO/USDT
181,NEST/USDT
182,NEW/USDT
183,NEXO/USDT
184,NFT/USDT
185,NHBTC/USDT
186,NKN/USDT
187,NODE/USDT
188,NSURE/USDT
189,NU/USDT
190,NULS/USDT
191,O3/USDT
192,OCN/USDT
193,OGN/USDT
194,OGO/USDT
195,OMG/USDT
196,ONE/USDT
197,ONT/USDT
198,OXT/USDT
199,PAI/USDT
200,PAX/USDT
201,PEARL/USDT
202,PHA/USDT
203,POLS/USDT
204,POLY/USDT
205,POND/USDT
206,PUSH/USDT
207,PVT/USDT
208,QTUM/USDT
209,RAD/USDT
210,RAI/USDT
211,REEF/USDT
212,REN/USDT
213,REQ/USDT
214,RING/USDT
215,RLC/USDT
216,RLY/USDT
217,RNDR/USDT
218,RSR/USDT
219,RUFF/USDT
220,RVN/USDT
221,SAND/USDT
222,SC/USDT
223,SEELE/USDT
224,SHIB/USDT
225,SKL/USDT
226,SKM/USDT
227,SKU/USDT
228,SMT/USDT
229,SNT/USDT
230,SNX/USDT
231,SOC/USDT
232,SOL/USDT
233,SPA/USDT
234,SRM/USDT
235,STAKE/USDT
236,STEEM/USDT
237,STF/USDT
238,STN/USDT
239,STORJ/USDT
240,STPT/USDT
241,SUN/USDT
242,SUSHI/USDT
243,SWFTC/USDT
244,SWRV/USDT
245,SXP/USDT
246,TALK/USDT
247,THETA/USDT
248,TITAN/USDT
249,TNB/USDT
250,TOP/USDT
251,TRB/USDT
252,TRIBE/USDT
253,TRX/USDT
254,TT/USDT
255,TUSD/USDT
256,UIP/USDT
257,UMA/USDT
258,UNI/USDT
259,UNI2L/USDT
260,UNI2S/USDT
261,USDC/USDT
262,USDT/HUSD
263,UTK/USDT
264,UUU/USDT
265,VALUE/USDT
266,VEN/USDT
267,VET/USDT
268,VIDY/USDT
269,VSYS/USDT
270,WAVES/USDT
271,WAXP/USDT
272,WBTC/USDT
273,WHALE/USDT
274,WICC/USDT
275,WNXM/USDT
276,WOO/USDT
277,WOZX/USDT
278,WTC/USDT
279,WXT/USDT
280,XCH/USDT
281,XEC/USDT
282,XEM/USDT
283,XLM/USDT
284,XMR/USDT
285,XMX/USDT
286,XPRT/USDT
287,XRP/USDT
288,XRP3L/USDT
289,XRP3S/USDT
290,XRT/USDT
291,XTZ/USDT
292,YAM/USDT
293,YAMV2/USDT
294,YEE/USDT
295,YFI/USDT
296,YFII/USDT
297,YGG/USDT
298,ZEC/USDT
299,ZEC3L/USDT
300,ZEC3S/USDT
301,ZEN/USDT
302,ZIL/USDT
303,ZKS/USDT
304,ZRX/USDT
