,symbol
0,1INCH-USDT-SWAP
1,1INCH/USDT
2,AAC/USDT
3,AAVE-USDT-SWAP
4,AAVE/USDT
5,ABT/USDT
6,ACT/USDT
7,ADA-USDT-220107
8,ADA-USDT-220114
9,ADA-USDT-220325
10,ADA-USDT-220624
11,ADA-USDT-SWAP
12,ADA/USDT
13,AERGO/USDT
14,AET/USDT
15,AGLD-USDT-SWAP
16,AGLD/USDT
17,AKITA/USDT
18,ALCX/USDT
19,ALGO-USDT-SWAP
20,ALGO/USDT
21,ALPHA-USDT-SWAP
22,ALPHA/USDT
23,ALV/USDT
24,ANC-USDT-SWAP
25,ANC/USDT
26,ANT-USDT-SWAP
27,ANT/USDT
28,ANW/USDT
29,API3/USDT
30,APIX/USDT
31,APM/USDT
32,AR/USDT
33,ARK/USDT
34,AST/USDT
35,ATOM-USDT-SWAP
36,ATOM/USDT
37,AUCTION/USDT
38,AVAX-USDT-SWAP
39,AVAX/USDT
40,AXS-USDT-SWAP
41,AXS/USDT
42,BABYDOGE-USDT-SWAP
43,BABYDOGE/USDT
44,BADGER-USDT-SWAP
45,BADGER/USDT
46,BAL-USDT-SWAP
47,BAL/USDT
48,BAND-USDT-SWAP
49,BAND/USDT
50,BAT-USDT-SWAP
51,BAT/USDT
52,BCD/USDT
53,BCH-USDT-220107
54,BCH-USDT-220114
55,BCH-USDT-220325
56,BCH-USDT-220624
57,BCH-USDT-SWAP
58,BCH/USDT
59,BETH/USDT
60,BHP/USDT
61,BICO-USDT-SWAP
62,BICO/USDT
63,BLOC/USDT
64,BLOK/USDT
65,BNT-USDT-SWAP
66,BNT/USDT
67,BORING/USDT
68,BSV-USDT-220107
69,BSV-USDT-220114
70,BSV-USDT-220325
71,BSV-USDT-220624
72,BSV-USDT-SWAP
73,BSV/USDT
74,BTC-USDT-220107
75,BTC-USDT-220114
76,BTC-USDT-220325
77,BTC-USDT-220624
78,BTC-USDT-SWAP
79,BTC/USDT
80,BTG/USDT
81,BTM-USDT-SWAP
82,BTM/USDT
83,BTT/USDT
84,BZZ-USDT-SWAP
85,BZZ/USDT
86,CEL/USDT
87,CELO-USDT-SWAP
88,CELO/USDT
89,CELR/USDT
90,CELT/USDT
91,CFG/USDT
92,CFX-USDT-SWAP
93,CFX/USDT
94,CGS/USDT
95,CHAT/USDT
96,CHE/USDT
97,CHZ-USDT-SWAP
98,CHZ/USDT
